source_url,property_propertyId,property_localityName,property_localityId,detail_propertyType,detail_coveredArea,detail_bedrooms,detail_bathrooms,detail_furnished,detail_floorNumber,detail_totalFloorNumber,detail_ageofcons,detail_premiumProperty,detail_numberOfBalconied,detail_projectName,detail_propertyTypeCode,detail_carpetArea,detail_completionScore,detail_listingTypeDesc,detail_maintenanceCharges,detail_exactSaleRentPrice,detail_latitude,detail_longitude,detail_coveredAreaSqft,detail_carpetAreaSqft,prop_minPrice,prop_maxPrice,prop_hiddenPrice,detail_facing,detail_amenityMap_12201,detail_amenityMap_12202,detail_amenityMap_12204,detail_amenityMap_12205,detail_amenityMap_12206,detail_amenityMap_12208,detail_amenityMap_12209,detail_developerName,detail_additionalRooms,detail_amenitiesFacing,detail_tenantDescription,detail_waterStatus,detail_electricityStatus,detail_carParking,detail_noOfLifts,detail_bookingAmountExact,detail_priceBreakUp_brokeragePerOrDays,detail_priceBreakUp_securityDeposit,detail_amenityMap_12211,detail_amenityMap_12213,detail_amenityMap_12217,detail_amenityMap_12223,detail_amenityMap_12224,detail_amenityMap_12229,detail_amenityMap_12230,detail_amenityMap_12583,detail_amenityMap_1404117,detail_amenityMap_1404118,detail_amenityMap_1404123,detail_amenityMap_1404149,detail_amenityMap_1404155,detail_amenityExternalMap_12201,detail_amenityExternalMap_12202,detail_amenityExternalMap_12204,detail_amenityExternalMap_12205,detail_amenityExternalMap_12206,detail_amenityExternalMap_12208,detail_amenityExternalMap_12209,detail_amenityExternalMap_12211,detail_amenityExternalMap_12213,detail_amenityExternalMap_12217,detail_amenityExternalMap_12223,detail_amenityExternalMap_12224,detail_amenityExternalMap_12229,detail_amenityExternalMap_12230,detail_amenityExternalMap_12583,detail_amenityExternalMap_1404117,detail_amenityExternalMap_1404118,detail_amenityExternalMap_1404123,detail_amenityExternalMap_1404149,detail_amenityExternalMap_1404155,detail_furnishingDetails_1006121,detail_furnishingDetails_1006122,detail_furnishingDetails_1006123,detail_furnishingDetails_1006124,detail_furnishingDetails_1006125,detail_furnishingDetails_1006126,detail_furnishingDetails_1006127,detail_furnishingDetails_1006128,detail_furnishingDetails_1006129,detail_furnishingDetails_1006130,detail_propertyAmenities_12201,detail_propertyAmenities_12202,detail_propertyAmenities_12205,detail_propertyAmenities_12206,detail_propertyAmenities_12208,detail_propertyAmenities_12209,detail_propertyAmenities_12228,detail_propertyAmenities_12229,detail_carParkingCount,detail_amenityMap_12203,detail_amenityMap_12207,detail_amenityMap_12212,detail_amenityMap_12214,detail_amenityMap_12215,detail_amenityMap_12216,detail_amenityMap_12218,detail_amenityMap_12219,detail_amenityMap_12220,detail_amenityMap_12221,detail_amenityMap_12222,detail_amenityMap_12225,detail_amenityMap_12226,detail_amenityMap_12227,detail_amenityMap_12228,detail_amenityMap_12525,detail_amenityMap_1404105,detail_amenityMap_1404110,detail_amenityMap_1404115,detail_amenityMap_1404124,detail_amenityMap_1404125,detail_amenityMap_1404143,detail_amenityMap_1404150,detail_amenityMap_1404157,detail_amenityExternalMap_12203,detail_amenityExternalMap_12207,detail_amenityExternalMap_12212,detail_amenityExternalMap_12214,detail_amenityExternalMap_12215,detail_amenityExternalMap_12216,detail_amenityExternalMap_12218,detail_amenityExternalMap_12219,detail_amenityExternalMap_12220,detail_amenityExternalMap_12221,detail_amenityExternalMap_12222,detail_amenityExternalMap_12225,detail_amenityExternalMap_12226,detail_amenityExternalMap_12227,detail_amenityExternalMap_12228,detail_amenityExternalMap_12525,detail_amenityExternalMap_1404105,detail_amenityExternalMap_1404110,detail_amenityExternalMap_1404115,detail_amenityExternalMap_1404124,detail_amenityExternalMap_1404125,detail_amenityExternalMap_1404143,detail_amenityExternalMap_1404150,detail_amenityExternalMap_1404157,detail_propertyAmenities_12203,detail_propertyAmenities_12204,detail_propertyAmenities_12207,detail_propertyAmenities_12212,detail_propertyAmenities_12213,detail_propertyAmenities_12214,detail_propertyAmenities_12215,detail_propertyAmenities_12217,detail_propertyAmenities_12218,detail_propertyAmenities_12219,detail_propertyAmenities_12220,detail_propertyAmenities_12221,detail_propertyAmenities_12222,detail_propertyAmenities_12223,detail_propertyAmenities_12224,detail_propertyAmenities_12225,detail_propertyAmenities_12226,detail_propertyAmenities_12227,detail_propertyAmenities_12230,detail_studyRoom,detail_amenityMap_1404114,detail_amenityMap_1404121,detail_amenityMap_1404122,detail_amenityMap_1404126,detail_amenityMap_1404131,detail_amenityExternalMap_1404114,detail_amenityExternalMap_1404121,detail_amenityExternalMap_1404122,detail_amenityExternalMap_1404126,detail_amenityExternalMap_1404131
https://www.magicbricks.com/propertyDetails/500-Sq-ft-Studio-Apartment-FOR-Rent-New-Bowenpally-in-Hyderabad&id=4d423433383139363935,43819695,New Bowenpally,89115,Studio Apartment,500,,1,Semi-Furnished,1,1,5 to 10 years,FALSE,,,10022,600,51,Standard Listing,200,7000,17.46056227,78.47703599,14,12,7000,7700,"7,000",,,,,,,,,,,,Bachelors,24 Hours Available,No/Rare Powercut,,,7000,,"7,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.magicbricks.com/propertyDetails/5-BHK-7500-Sq-ft-Multistorey-Apartment-FOR-Rent-Kokapet-in-Hyderabad&id=4d423738393233303631,78923061,Kokapet,87659,Multistorey Apartment,7500,5,5,Furnished,2,3,Less than 5 years,TRUE,,Jains Four Seasons,10002,6000,90,Premium,,250000,17.387624,78.332323,33,42,,,,North - East,Power Back Up,Lift,Club House,Swimming Pool,Gymnasium,Reserved Parking,Security,JAIN PROMOTERS & BUILDERS PVT. LTD.,None of these,Garden/Park,,24 Hours Available,No/Rare Powercut,1 Covered,2,750000,30 days,"7,50,000",Water Storage,Vaastu Compliant,Intercom Facility,RO Water System,Banquet Hall,Jogging and Strolling Track,Outdoor Tennis Courts,Library,Indoor Games Room,Indoor Squash & Badminton Courts,Library And Business Centre,Half basketball court,Badminton court,Power Back Up,Lift,Club House,Swimming Pool,Gymnasium,Reserved Parking,Security,Water Storage,Vaastu Compliant,Intercom Facility,RO Water System,Banquet Hall,Jogging and Strolling Track,Outdoor Tennis Courts,Library,Indoor Games Room,Indoor Squash & Badminton Courts,Library And Business Centre,Half basketball court,Badminton court,4 AC,4 Bed,4 Wardrobe, Fridge,4 TV, Washing Machine, Sofa, Dining Table, Gas Connection, Microwave,Power Back Up,Lift,Swimming Pool,Gymnasium,Reserved Parking,Security,Piped Gas,Jogging and Strolling Track,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.magicbricks.com/propertyDetails/4-BHK-3070-Sq-ft-Multistorey-Apartment-FOR-Rent-Kondapur-in-Hyderabad&id=4d423830383139303335,80819035,Kondapur,84461,Multistorey Apartment,3070,4,4,Semi-Furnished,5,20,New Construction,TRUE,3,Aparna Luxor Park,10002,1900,100,Premium,"15,000",150000,17.46613879,78.35740874,49,79,,,,East,Power Back Up,Lift,Club House,Swimming Pool,Gymnasium,Reserved Parking,Security,Aparna Constructions and Estates Pvt. Ltd.,"Puja Room, Servant Room",Main Road,,24 Hours Available,No/Rare Powercut,3 Covered,3,600000,15 days,"6,00,000",Water Storage,Vaastu Compliant,Intercom Facility,RO Water System,Banquet Hall,Jogging and Strolling Track,Outdoor Tennis Courts,Library,,,,,,Power Back Up,Lift,Club House,Swimming Pool,Gymnasium,Reserved Parking,Security,Water Storage,Vaastu Compliant,Intercom Facility,RO Water System,Banquet Hall,Jogging and Strolling Track,Outdoor Tennis Courts,Library,,,,,,,,,,,,,,,,Power Back Up,Lift,Swimming Pool,Gymnasium,Reserved Parking,Security,Piped Gas,Jogging and Strolling Track,3,Rain Water Harvesting,Park,Private Terrace/Garden,Service/Goods Lift,Air Conditioned,Visitor Parking,Maintenance Staff,Waste Disposal,Laundry Service,Internet/Wi-Fi Connectivity,DTH Television Facility,Bar/Lounge,Cafeteria/Food Court,Conference Room,Piped Gas,Infinity Swimming Pool,AEROBICS ROOM,Bank & ATM,Flower Gardens,Meditation Area,Multipurpose Courts,Fire Fighting Equipment,Cricket net practice,Community Hall,Rain Water Harvesting,Park,Private Terrace/Garden,Service/Goods Lift,Air Conditioned,Visitor Parking,Maintenance Staff,Waste Disposal,Laundry Service,Internet/Wi-Fi Connectivity,DTH Television Facility,Bar/Lounge,Cafeteria/Food Court,Conference Room,Piped Gas,Infinity Swimming Pool,AEROBICS ROOM,Bank & ATM,Flower Gardens,Meditation Area,Multipurpose Courts,Fire Fighting Equipment,Cricket net practice,Community Hall,Rain Water Harvesting,Club House,Park,Private Terrace/Garden,Vaastu Compliant,Service/Goods Lift,Air Conditioned,Intercom Facility,Maintenance Staff,Waste Disposal,Laundry Service,Internet/Wi-Fi Connectivity,DTH Television Facility,RO Water System,Banquet Hall,Bar/Lounge,Cafeteria/Food Court,Conference Room,Outdoor Tennis Courts,,,,,,,,,,,
https://www.magicbricks.com/propertyDetails/2-BHK-1050-Sq-ft-Multistorey-Apartment-FOR-Rent-Water-Tank-Road-in-Hyderabad&id=4d423830333634323835,80364285,Water Tank Road,166688,Multistorey Apartment,1050,2,2,Furnished,2,5,Less than 5 years,FALSE,2,Sri Venkata Sai Nilayam Nizampet,10002,1180,84,Standard,"2,000",25000,17.520856,78.385912,24,21,25000,27500,"25,000",West,,,,,,,,,,"Garden/Park, Main Road",Family,24 Hours Available,No/Rare Powercut,1 Covered,2,50000,,"50,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 AC,3 Bed,4 Wardrobe, Fridge,, Washing Machine, Sofa, Dining Table, Gas Connection, Microwave,Power Back Up,Lift,,Gymnasium,Reserved Parking,Security,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.magicbricks.com/propertyDetails/2-BHK-1250-Sq-ft-Residential-House-FOR-Rent-in-Hyderabad&id=4d423738393133373131,78913711,,,Residential House,,2,2,Furnished,,1,Less than 5 years,TRUE,2,,10001,1250,72,Prime Listings,,26500,,,"92,23,37,20,36,85,47,70,000",21,,,,North - East,,,,,,,,,"Puja Room, Study",Main Road,Bachelors,,,,,2,15 days,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Park,,Vaastu Compliant,,,Intercom Facility,,,Laundry Service,Internet/Wi-Fi Connectivity,DTH Television Facility,,,,,,,Y,,,,,,,,,,
https://www.magicbricks.com/propertyDetails/3-BHK-1740-Sq-ft-Multistorey-Apartment-FOR-Rent-Kukatpally-in-Hyderabad&id=4d423736353537343735,76557475,Kukatpally,80183,Multistorey Apartment,1740,3,3,Semi-Furnished,15,23,Less than 5 years,FALSE,1,Indis One City,10002,,40,Standard,"6,000",63000,17.47592722496573,78.39146764971842,36,,63000,69500,"63,000",,Power Back Up,Lift,Club House,Swimming Pool,Gymnasium,,Security,Indis,,,,,,,,126000,,"1,26,000",,Vaastu Compliant,Intercom Facility,,Banquet Hall,Jogging and Strolling Track,Outdoor Tennis Courts,,Indoor Games Room,,Library And Business Centre,,,Power Back Up,Lift,Club House,Swimming Pool,Gymnasium,,Security,,Vaastu Compliant,Intercom Facility,,Banquet Hall,Jogging and Strolling Track,Outdoor Tennis Courts,,Indoor Games Room,,Library And Business Centre,,,4 AC,3 Bed,4 Wardrobe,,1 TV,, Sofa,, Gas Connection,,,,,,,,,,,,Park,,,,Visitor Parking,Maintenance Staff,,,,,,,,,,AEROBICS ROOM,,,,Multipurpose Courts,Fire Fighting Equipment,,,,Park,,,,Visitor Parking,Maintenance Staff,,,,,,,,,,AEROBICS ROOM,,,,Multipurpose Courts,Fire Fighting Equipment,,,,,,,,,,,,,,,,,,,,,,,Event Space & Amphitheatre,Kids Play Area,Kids Play Pool With Water Slides,Outdoor Tennis Courts,Cycling & Jogging Track,Event Space & Amphitheatre,Kids Play Area,Kids Play Pool With Water Slides,Outdoor Tennis Courts,Cycling & Jogging Track
https://www.magicbricks.com/propertyDetails/5-BHK-2000-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Dollar-Hills-in-Hyderabad&id=4d423830333634393933,80364993,Dollar Hills,153123,Builder Floor Apartment,2000,5,4,Furnished,1,2,,FALSE,,,10003,1900,33,Standard,,60000,17.396202087402344,78.38683319091797,30,32,60000,65000,"60,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.magicbricks.com/propertyDetails/3-BHK-1875-Sq-ft-Multistorey-Apartment-FOR-Rent-Nallagandla-in-Hyderabad&id=4d423830333633383739,80363879,Nallagandla,130781,Multistorey Apartment,1875,3,3,Semi-Furnished,6,24,Less than 5 years,TRUE,2,Aparna Sarovar Zenith,10002,,78,Prime Listings,"6,000",56000,17.4633553,78.306611,30,,,,,East,Power Back Up,Lift,,Swimming Pool,Gymnasium,Reserved Parking,Security,Aparna Constructions and Estates Pvt. Ltd.,Puja Room,Garden/Park,Bachelors,,,,,110000,20 days,"1,10,000",,Vaastu Compliant,,,Banquet Hall,Jogging and Strolling Track,Outdoor Tennis Courts,,,Indoor Squash & Badminton Courts,,,,Power Back Up,Lift,,Swimming Pool,Gymnasium,Reserved Parking,Security,,Vaastu Compliant,,,Banquet Hall,Jogging and Strolling Track,Outdoor Tennis Courts,,,Indoor Squash & Badminton Courts,,,,,,,,,,,,,,Power Back Up,Lift,Swimming Pool,Gymnasium,Reserved Parking,Security,Piped Gas,Jogging and Strolling Track,,,,,,,,,,,,,,,,Piped Gas,,,,Flower Gardens,,,,,,,,,,,,,,,,,,,,Piped Gas,,,,Flower Gardens,,,,,,,,Park,,Vaastu Compliant,,Air Conditioned,Intercom Facility,,,,,,RO Water System,Banquet Hall,,Cafeteria/Food Court,Conference Room,Outdoor Tennis Courts,,,Kids Play Area,,,,,Kids Play Area,,,
https://www.magicbricks.com/propertyDetails/4-BHK-4500-Sq-ft-Villa-FOR-Rent-Kokapet-in-Hyderabad&id=4d423730313537393833,70157983,Kokapet,87659,Villa,4500,4,5,Semi-Furnished,,1,,FALSE,,,10017,,29,Standard,,200000,17.396930694580078,78.33522033691406,44,,184000,200000,1.8 Lac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.magicbricks.com/propertyDetails/2-BHK-800-Sq-ft-Residential-House-FOR-Rent-Beeramguda-in-Hyderabad&id=4d423634343833313937,64483197,Beeramguda Ramachandrapuram,85776,Residential House,800,2,2,Unfurnished,2,3,,FALSE,,,10001,,0,Standard Listing,,9900,17.51839482,78.30167736,12,,9900,10600,"9,900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
